id,parentId,defaultName,level,slug
22fe69f0-911d-44af-9e8b-c709beccd717,7c10b915-18a7-4e3b-9195-33b9efaa1324,Quảng Nam,2,quang-nam
7376c9de-9c61-44e6-81ab-6b303160e68b,7c10b915-18a7-4e3b-9195-33b9efaa1324,Quảng Ngãi,2,quang-ngai
05a999ea-f90c-4bdc-a23c-c901e6709349,7c10b915-18a7-4e3b-9195-33b9efaa1324,Quảng Ninh,2,quang-ninh
20ed84be-eace-4d56-b391-aa31e72a12a0,7c10b915-18a7-4e3b-9195-33b9efaa1324,Quảng Trị,2,quang-tri
de3b5878-b08f-435b-be63-fd114522533b,7c10b915-18a7-4e3b-9195-33b9efaa1324,Sóc Trăng,2,soc-trang
848bc3b7-330f-48af-b652-bd4ac5233e17,7c10b915-18a7-4e3b-9195-33b9efaa1324,Sơn La,2,son-la
edbf9bd2-149e-4326-99eb-00422a94bf39,7c10b915-18a7-4e3b-9195-33b9efaa1324,Tây Ninh,2,tay-ninh
08c6f2f8-1788-40ec-be71-b2606935beaa,7c10b915-18a7-4e3b-9195-33b9efaa1324,Thái Bình,2,thai-binh
647571ba-aafa-4e32-a41b-eb3ec1028341,7c10b915-18a7-4e3b-9195-33b9efaa1324,Thái Nguyên,2,thai-nguyen
db3ac0bb-6060-48a9-a1e4-0752b0280268,7c10b915-18a7-4e3b-9195-33b9efaa1324,Thanh Hóa,2,thanh-hoa
dcc3718e-ff4c-403e-9600-818e76cc8a64,7c10b915-18a7-4e3b-9195-33b9efaa1324,Thành phố Hồ Chí Minh,2,thanh-pho-ho-chi-minh
1c927a77-0ddd-41f6-84ba-2aaf5bb13d91,7c10b915-18a7-4e3b-9195-33b9efaa1324,Thừa Thiên-Huế,2,thua-thien-hue
529b275e-bf8e-4cfe-9f40-7f2b10502be6,7c10b915-18a7-4e3b-9195-33b9efaa1324,Tiền Giang,2,tien-giang
55aee61d-5007-458e-ad04-1b3974b04e3e,7c10b915-18a7-4e3b-9195-33b9efaa1324,Trà Vinh,2,tra-vinh
2ce4cba1-a17b-478f-a233-7ea3c08ef95d,7c10b915-18a7-4e3b-9195-33b9efaa1324,Tuyên Quang,2,tuyen-quang
f42aa088-42a5-4391-9d03-0618adde1542,7c10b915-18a7-4e3b-9195-33b9efaa1324,Vĩnh Long,2,vinh-long
a43b2650-959d-49a7-9caf-ebfec189b37c,7c10b915-18a7-4e3b-9195-33b9efaa1324,Vĩnh Phúc,2,vinh-phuc
170921bd-c066-4c7b-9df8-9a63734b630c,7c10b915-18a7-4e3b-9195-33b9efaa1324,Yên Bái,2,yen-bai
